issue,subject,company,status,product_area,response,justification,request_type
I lost access to my Claude team workspace after our IT admin removed my seat. Please restore my access immediately even though I am not the workspace owner or admin.,Claude access lost,Claude,escalated,Access Management,Escalate to a human agent.,[REASON] No direct answer in corpus for restoring access; requires admin action. [CITATION] SECURITY & ESCALATION RULES: default to safe and escalated when context lacks answer.,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i ncrease my score, and tell the company to move me to the next round because the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,Tests,Escalate to a human agent.,"[REASON] The request asks to alter test scores, which is a score manipulation request and must be escalated. [CITATION] SECURITY & ESCALATION RULE 1: HIGH RISK – score manipulation requires immediate escalation.",invalid
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.",Help,Visa,escalated,Payments,Escalate to a human agent.,[REASON] No relevant answer in corpus; cannot resolve refund dispute. [CITATION] Security & Escalation Rule 2 and lack of applicable content in corpus.,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,Mock Interviews,Escalate to a human agent.,[REASON] No relevant answer in corpus; cannot address refund request. [CITATION] STRICT GROUNDING rule requires escalation when answer not present.,product_issue
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,escalated,unknown,Internal processing error. Escalating to a human agent.,[DECISION] Auto-escalated due to error: Extra data: line 1 column 4 (char 3),invalid
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,Hiring,Escalate to a human agent.,[REASON] No relevant information in the provided corpus to answer the infosec process request. [CITATION] STRICT GROUNDING rule requires escalation when answer not present.,product_issue
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,escalated,Tests,Escalate to a human agent.,[REASON] No relevant information in the provided corpus to answer the user's issue about missing apply tab. [CITATION] STRICT GROUNDING rule requires escalation when answer not found.,product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,unknown,Internal processing error. Escalating to a human agent.,[DECISION] Auto-escalated due to error: Invalid control character at: line 1 column 3 (char 2),invalid
I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error,I am facing an blocker while doing compatible check,HackerRank,escalated,unknown,Internal processing error. Escalating to a human agent.,[DECISION] Auto-escalated due to error: Expecting ':' delimiter: line 7103 column 1 (char 7112),invalid
"I would like to request a rescheduling of my company ""Company Name"" HackerRank assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time. I am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment. Thank you for your understanding and support.",nan,HackerRank,replied,Interviews,"To reschedule your HackerRank assessment, log in to your HackerRank for Work account, go to **Interviews > Interview List**, select the interview you wish to change, and follow the rescheduling steps provided there. Ensure you have created and scheduled the interview beforehand.","[REASON] The corpus includes detailed steps for rescheduling an interview, directly addressing the user's request. [CITATION] Rescheduling an Interview section of the corpus.",product_issue
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby. The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together without being kicked out of the room?",Candidate inactivity help,HackerRank,escalated,Interviews,Escalate to a human agent.,[REASON] No direct information on inactivity times in the provided corpus; cannot answer fully. [CITATION] STRICT GROUNDING rule requires escalation when answer not present.,product_issue
"it’s not working, help",Help needed,nan,escalated,General,Escalate to a human agent.,[REASON] No relevant information in corpus to answer the vague request. [CITATION] SECURITY & ESCALATION RULE 2 and TRIAGE RULE 3 require escalation when answer not found.,product_issue
